date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:01:25	130/130	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Dec%202023%2001:01:25%20GMT	http://zeefolio.local/robots.txt		(from )
06:01:26	223140/223140	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Dec%202023%2001:01:25%20GMT	http://zeefolio.local/	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/index.html	(from )
06:01:27	41525/41525	---MCZ	200	added ('OK')	text/css	etag:W/%22655491a8-a235%22	http://zeefolio.local/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.4.1	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/themes/astra/assets/css/minified/main.mina94e.css	(from http://zeefolio.local/)
06:01:27	110035/110035	---MCZ	200	added ('OK')	text/css	etag:W/%226547efb0-1add3%22	http://zeefolio.local/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-includes/css/dist/block-library/style.min1e39.css	(from http://zeefolio.local/)
06:01:27	59764/59764	---MCZ	200	added ('OK')	text/css	etag:W/%226555c6f2-e974%22	http://zeefolio.local/wp-content/uploads/astra-addon/astra-addon-6555c6f209cfd3-43115216.css?ver=4.4.0	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/uploads/astra-addon/astra-addon-6555c6f209cfd3-43115216474a.css	(from http://zeefolio.local/)
06:01:28	19533/19533	---MCZ	200	added ('OK')	text/css	etag:W/%2265520381-4c4d%22	http://zeefolio.local/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from http://zeefolio.local/)
06:01:29	117332/117332	---MCZ	200	added ('OK')	text/css	etag:W/%2265520381-1ca54%22	http://zeefolio.local/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.17.3	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/plugins/elementor/assets/css/frontend-lite.min8864.css	(from http://zeefolio.local/)
06:01:29	707/707	---MC-	200	added ('OK')	application/rss+xml	etag:%225ecb5d87217fdff4ebf594a9758e38c2%22	http://zeefolio.local/comments/feed/	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/comments/feed/index.html	(from http://zeefolio.local/)
06:01:29	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2265520381-4057%22	http://zeefolio.local/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://zeefolio.local/)
06:01:29	3183/3183	---MC-	200	added ('OK')	application/rss+xml	etag:%225ecb5d87217fdff4ebf594a9758e38c2%22	http://zeefolio.local/feed/	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/feed/index.html	(from http://zeefolio.local/)
06:01:29	2242/2242	---MCZ	200	added ('OK')	text/css	etag:W/%226555e19e-8c2%22	http://zeefolio.local/wp-content/uploads/elementor/css/post-9.css?ver=1700127134	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/uploads/elementor/css/post-96f97.css	(from http://zeefolio.local/)
06:01:29	11607/11607	---MCZ	200	added ('OK')	text/css	etag:W/%22655203c5-2d57%22	http://zeefolio.local/wp-content/plugins/pro-elements/assets/css/frontend-lite.min.css?ver=3.17.1	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/plugins/pro-elements/assets/css/frontend-lite.min5d63.css	(from http://zeefolio.local/)
06:01:32	631656/631656	---MCZ	200	added ('OK')	text/css	etag:W/%226554c1fc-9a368%22	http://zeefolio.local/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min.css?ver=1.36.25	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min724b.css	(from http://zeefolio.local/)
06:01:32	41730/41730	---MCZ	200	added ('OK')	text/css	etag:W/%226555cd8a-a302%22	http://zeefolio.local/wp-content/plugins/wpforms/assets/css/frontend/classic/wpforms-base.min.css?ver=1.8.5.1	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-content/plugins/wpforms/assets/css/frontend/classic/wpforms-base.mindbb5.css	(from http://zeefolio.local/)
06:01:33	87553/87553	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264ecd5ef-15601%22	http://zeefolio.local/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-includes/js/jquery/jquery.minf43b.js	(from http://zeefolio.local/)
06:01:33	13577/13577	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226482bd64-3509%22	http://zeefolio.local/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://zeefolio.local/)
06:01:34	792/792	---MCZ	200	added ('OK')	text/xml	date:Sat,%2016%20Dec%202023%2001:01:34%20GMT	http://zeefolio.local/xmlrpc.php?rsd	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/xmlrpc0db0.php	(from http://zeefolio.local/)
06:01:34	324867/324867	---MCZ	200	added ('OK')	application/json	date:Sat,%2016%20Dec%202023%2001:01:34%20GMT	http://zeefolio.local/wp-json/	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-json/index.html	(from http://zeefolio.local/)
06:01:35	2010/2010	---MCZ	200	added ('OK')	application/json	date:Sat,%2016%20Dec%202023%2001:01:35%20GMT	http://zeefolio.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fzeefolio.local%2F	C:/Users/Zeeshan/Desktop/Converted/c1/zeefolio.local/wp-json/oembed/1.0/embed720f.json	(from http://zeefolio.local/)
